,userId,productId
0,user0,197
1,user0,191
2,user0,105
3,user0,119
4,user1,265
5,user1,266
6,user1,194
7,user2,2
8,user2,84
9,user2,52
10,user2,20
11,user2,9
12,user3,102
13,user3,172
14,user3,148
15,user3,152
16,user4,210
17,user4,253
18,user4,208
19,user5,218
20,user5,262
21,user6,197
22,user6,205
23,user7,206
24,user7,219
25,user7,207
26,user7,191
27,user7,214
28,user8,219
29,user8,236
30,user8,220
31,user8,267
32,user9,15
33,user9,42
34,user9,39
35,user10,215
36,user10,267
37,user11,107
38,user11,186
39,user12,225
40,user12,205
41,user13,266
42,user13,218
43,user13,217
44,user13,218
45,user13,212
46,user14,216
47,user14,222
48,user14,237
49,user14,226
50,user14,206
51,user15,191
52,user15,196
53,user15,194
54,user16,207
55,user16,194
56,user16,190
57,user16,204
58,user16,224
59,user17,216
60,user17,201
61,user17,215
62,user18,197
63,user18,200
64,user18,201
65,user18,204
66,user19,109
67,user19,160
68,user20,25
69,user20,45
70,user21,98
71,user21,171
72,user21,112
73,user21,163
74,user21,179
75,user22,217
76,user22,203
77,user22,213
78,user22,248
79,user23,25
80,user23,10
81,user23,86
82,user24,206
83,user24,209
84,user25,10
85,user25,49
86,user25,54
87,user26,268
88,user26,213
89,user27,216
90,user27,235
91,user28,210
92,user28,269
93,user28,200
94,user29,192
95,user29,224
96,user29,209
97,user30,103
98,user30,110
99,user30,104
100,user30,172
101,user30,182
102,user31,16
103,user31,29
104,user31,48
105,user31,61
106,user32,199
107,user32,225
108,user33,267
109,user33,225
110,user33,204
111,user33,196
112,user34,205
113,user34,223
114,user34,265
115,user34,213
116,user34,225
117,user35,207
118,user35,260
119,user36,207
120,user36,206
121,user36,224
122,user36,266
123,user37,5
124,user37,61
125,user37,28
126,user37,29
127,user38,106
128,user38,106
129,user38,183
130,user39,25
131,user39,78
132,user39,59
133,user39,93
134,user39,86
135,user40,209
136,user40,224
137,user41,200
138,user41,219
139,user41,264
140,user41,222
141,user42,101
142,user42,104
143,user42,185
144,user42,141
145,user42,104
146,user43,14
147,user43,10
148,user43,80
149,user43,29
150,user43,25
151,user44,213
152,user44,264
153,user45,199
154,user45,265
155,user46,204
156,user46,267
157,user46,214
158,user47,214
159,user47,203
160,user47,225
161,user47,212
162,user47,224
163,user48,100
164,user48,178
165,user48,182
